Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$425,514,702","$204,417,855",48%,"$221,096,847",52%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$227,908,130","$77,047,065",33.8%,"$150,861,065",66.2%
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$124,558,377","$64,914,050",52.1%,"$59,644,327",47.9%
6,The Gentlemen,"$117,758,649","$36,296,853",30.8%,"$81,461,796",69.2%
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
8,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%
9,Fantasy Island,"$48,607,556","$26,441,782",54.4%,"$22,165,774",45.6%
10,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
11,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
12,Bloodshot,"$29,749,454","$10,021,787",33.7%,"$19,727,667",66.3%
13,Emma.,"$25,155,355","$10,055,355",40%,"$15,100,000",60%
14,Gretel & Hansel,"$21,984,429","$15,347,654",69.8%,"$6,636,775",30.2%
15,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
16,The Turning,"$18,474,062","$15,472,775",83.8%,"$3,001,287",16.2%
17,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
18,La Belle Ã‰poque,"$14,298,084",-,-,"$14,298,084",100%
19,I Still Believe,"$10,482,561","$9,868,521",94.1%,"$614,040",5.9%
20,The Hunt,"$6,512,500","$5,812,500",89.3%,"$700,000",10.7%
21,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
22,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
23,My Spy,"$4,405,156",-,-,"$4,405,156",100%
24,The Last Full Measure,"$3,006,059","$2,949,212",98.1%,"$56,847",1.9%
25,The Lodge,"$2,679,438","$1,666,564",62.2%,"$1,012,874",37.8%
26,Trolls World Tour,"$1,758,185",-,-,"$1,758,185",100%
27,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
28,Burden,"$139,270","$139,270",100%,-,-
29,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
30,First Cow,"$101,068","$101,068",100%,-,-
31,Run,"$4,052",-,-,"$4,052",100%
32,Mulan,$874,-,-,$874,100%
33,A Quiet Place Part II,$159,-,-,$159,100%
